Key,Dist,District ID,District Name,School ID,School Name,Enrollment,Total School Per Pupil Expenditures,Total Expenditures Per School,Local Percentage,Federal Percentage,State Percentage,Year,,
190 8048,190,190,Metro Nashville Public Schools,8048,Intrepid College Preparatory Charter School,716,*,*,,,,2020,,
190 8046,190,190,Metro Nashville Public Schools,8046,Purpose Prep,366,*,*,,,,2020,,
190 8045,190,190,Metro Nashville Public Schools,8045,Valor Flagship Academy,958,*,*,,,,2020,,
190 8044,190,190,Metro Nashville Public Schools,8044,Nashville Classical,443,*,*,,,,2020,,
190 8042,190,190,Metro Nashville Public Schools,8042,KIPP Nashville College Prep,349,*,*,,,,2020,,
985 8040,985,985,Achievement School District,8040,KIPP Memphis Academy Elementary,335,*,*,,,,2020,,
985 8025,985,985,Achievement School District,8025,Aspire Hanley Elementary,549,*,*,,,,2020,,
985 8024,985,985,Achievement School District,8024,Aspire Hanley Middle School,278,*,*,,,,2020,,
985 8020,985,985,Achievement School District,8020,KIPP Memphis Preparatory Middle,324,*,*,,,,2020,,
986 8020,986,986,Tennessee State Board of Education,8020,KIPP Antioch College Prep Middle,132,*,*,,,,2020,,
985 8015,985,985,Achievement School District,8015,Humes Preparatory Academy Middle  School,270,*,*,,,,2020,,
986 8015,986,986,Tennessee State Board of Education,8015,KIPP Antioch College Prep Elementary,293,*,*,,,,2020,,
190 8013,190,190,Metro Nashville Public Schools,8013,LEAD Southeast,805,*,*,,,,2020,,
190 8012,190,190,Metro Nashville Public Schools,8012,Knowledge Academy,161,*,*,,,,2020,,
190 8011,190,190,Metro Nashville Public Schools,8011,KIPP Nashville Collegiate High School,429,*,*,,,,2020,,
330 8011,330,330,Hamilton County,8011,Chattanooga Preparatory School,140,*,*,,,,2020,,
190 8010,190,190,Metro Nashville Public Schools,8010,LEAD Cameron,734,*,*,,,,2020,,
330 8010,330,330,Hamilton County,8010,Chattanooga Charter School of Excellence Middle,225,*,*,,,,2020,,
985 8010,985,985,Achievement School District,8010,Cornerstone Prep - Lester Campus,396,*,*,,,,2020,,
190 8009,190,190,Metro Nashville Public Schools,8009,East End Preparatory School,906,*,*,,,,2020,,
190 8008,190,190,Metro Nashville Public Schools,8008,Nashville Prep,288,*,*,,,,2020,,
