district_name,school_name,zipcode,longitude,latitude,pct_chronically_absent_2020,percent_ca2019,percent_ca_2018,admin,teacher,percent_retained,pool,score_achievement,score_growth,score_absenteeism,students_total_2020,enrollment_2019,enrollment_2018
Achievement School District,Lester Prep,38112,-89.97479,35.148605,29.1,25.8,13.2,1,23,68.2,K8,1,3.8,0,313,246,219
Maury County Schools,Hampshire Unit School,38461,-87.33058,35.606697,11.8,6.7,6.9,2,28,68.4,K8,3.4,2,3,443,383,384
Williamson County Schools,Hillsboro Elementary/ Middle School,37064,-86.89919,35.893823,5.5,3.4,4.8,3,52,68.4,K8,3.8,3.5,3.6,625,616,641
Metro Nashville Public Schools,Gower Elementary,37209,-86.8559,36.151324,13,12.7,11.7,1,44,68.6,K8,2.6,4,2.6,679,558,599
Hamilton County Schools,Dalewood Middle School,37411,-85.2333,35.023824,24.1,20.4,21.7,2,30,68.6,K8,0.9,2,2.4,402,362,350
Smith County School District,Carthage Elementary,37030,-85.94893,36.264959,8.1,5.2,9.9,2,24,68.8,K8,2.6,2.6,3.7,407,340,335
Sevier County School System,Seymour Intermediate,37865,-83.74476,35.853932,11.4,11.5,10.8,2,33,69,K8,2.7,2,2.5,599,583,548
Metro Nashville Public Schools,Antioch Middle,37013,-86.64782,36.055115,8.4,10.4,13.1,3,51,69.1,K8,1,2,4,1008,767,778
Fayette County Schools,West Junior High School,38060,-89.5034,35.214462,8.9,16,12.5,3,23,69.2,K8,1.3,0.1,1.1,439,402,385
Grundy County Schools,Grundy County High School,37313,-85.70288,35.361678,11.1,14,11.6,4,41,69.2,HS,1.8,2,2.2,669,681,679
Haywood County Schools,Haywood High School,38012,-89.2609,35.590558,19.2,18.2,20.3,6,67,69.2,HS,2.6,3.2,2.6,854,858,919
Shelby County Schools,Willow Oaks Elementary,38117,-89.90389,35.112929,12.7,12.6,7.5,2,52,69.2,K8,2,3.5,2.3,742,723,683
Metro Nashville Public Schools,Westmeade Elementary,37205,-86.86207,36.113558,9,8.5,13.3,1,30,69.4,K8,3,3.7,4,508,419,405
Knox County Schools,Chilhowee Intermediate,37914,-83.84981,35.988528,17.5,18.5,17.7,2,15,69.6,K8,1.1,0.4,2.5,220,188,231
Rutherford County Schools,Holloway High School,37130,-86.3648,35.860152,23.5,31.7,39.4,2,19,69.6,HS,1.6,2.8,3.2,147,117,137
Shelby County Schools,Mt. Pisgah Middle,38016,-89.776835,35.177475,5,5.8,3.9,2,29,69.7,K8,1.1,0.3,3.5,596,487,472
Metro Nashville Public Schools,Nashville Prep,37209,-86.8559,36.151324,14.3,18.1,15,2,27,70,K8,2.2,3.9,1.6,368,343,384
Metro Nashville Public Schools,East End Preparatory School,37216,-86.72594,36.213004,14.3,12.1,14.1,2,52,70,K8,2.9,1,3.8,977,885,750
Gibson County Special School District,Rutherford Elementary,38369,-88.98134,36.12836,7.1,5.7,5,1,18,70,K8,3.4,2.6,3.9,291,277,256
Hickman County Schools,East Hickman Middle School,37098,-87.31395,35.882639,12.2,9,10.4,2,23,70,K8,1.2,0.3,4,420,420,422
Knox County Schools,Gresham Middle School,37918,-83.92511,36.046598,16.8,16.2,20.4,4,53,70,K8,2.7,2.3,4,963,840,837
Fayetteville City Schools,Fayetteville Middle School,37334,-86.57433,35.136177,12,15.1,7.7,3,28,70,K8,3.2,3.6,1.3,476,478,458
